Source,Target,Type
174,1886,Undirected
1886,25365,Undirected
1886,34362,Undirected
174,2108,Undirected
20965,2108,Undirected
174,5391,Undirected
251,5391,Undirected
5391,553,Undirected
1267,5391,Undirected
1764,5391,Undirected
1853,5391,Undirected
3252,5391,Undirected
3257,5391,Undirected
3320,5391,Undirected
5391,6720,Undirected
5391,6939,Undirected
5391,8426,Undirected
5391,8447,Undirected
5391,8468,Undirected
5391,8492,Undirected
5391,8585,Undirected
5391,8596,Undirected
5391,8732,Undirected
5391,9002,Undirected
5391,9119,Undirected
5391,9146,Undirected
5391,9189,Undirected
12779,5391,Undirected
12859,5391,Undirected
13046,5391,Undirected
13237,5391,Undirected
20485,5391,Undirected
20640,5391,Undirected
20875,5391,Undirected
21323,5391,Undirected
24989,5391,Undirected
25091,5391,Undirected
25220,5391,Undirected
25328,5391,Undirected
28917,5391,Undirected
29076,5391,Undirected
29140,5391,Undirected
29208,5391,Undirected
29647,5391,Undirected
30841,5391,Undirected
30844,5391,Undirected
30905,5391,Undirected
31019,5391,Undirected
31025,5391,Undirected
31133,5391,Undirected
31500,5391,Undirected
34288,5391,Undirected
34463,5391,Undirected
34519,5391,Undirected
34540,5391,Undirected
35128,5391,Undirected
35225,5391,Undirected
35567,5391,Undirected
35620,5391,Undirected
39663,5391,Undirected
39792,5391,Undirected
39912,5391,Undirected
42488,5391,Undirected
42571,5391,Undirected
42708,5391,Undirected
43179,5391,Undirected
44377,5391,Undirected
48166,5391,Undirected
48794,5391,Undirected
52152,5391,Undirected
5391,57888,Undirected
5391,62161,Undirected
196622,5391,Undirected
197324,5391,Undirected
197716,5391,Undirected
197823,5391,Undirected
198565,5391,Undirected
199433,5391,Undirected
5391,6762,Undirected
5391,8928,Undirected
16265,5391,Undirected
13046,5620,Undirected
35549,5620,Undirected
35549,6794,Undirected
12810,28766,Undirected
12810,35416,Undirected
12810,42488,Undirected
12810,43540,Undirected
12810,51989,Undirected
12810,199433,Undirected
12810,15994,Undirected
13046,174,Undirected
1299,13046,Undirected
13046,25045,Undirected
13046,29647,Undirected
13046,30905,Undirected
13046,34463,Undirected
13046,34540,Undirected
13046,35416,Undirected
13046,41452,Undirected
13046,44325,Undirected
13046,48353,Undirected
13046,48372,Undirected
13046,48567,Undirected
13046,49428,Undirected
13046,50410,Undirected
13046,56556,Undirected
13046,59786,Undirected
13046,61211,Undirected
13046,197521,Undirected
13046,198548,Undirected
13046,198565,Undirected
13046,198785,Undirected
13046,199244,Undirected
15994,3356,Undirected
15994,8447,Undirected
15994,31012,Undirected
15994,35225,Undirected
15994,35620,Undirected
15994,48372,Undirected
15994,49498,Undirected
15994,57785,Undirected
15994,59786,Undirected
15994,59866,Undirected
15994,61995,Undirected
15994,197521,Undirected
15994,35549,Undirected
16163,34362,Undirected
174,25277,Undirected
25365,34362,Undirected
25528,34522,Undirected
25528,35549,Undirected
28766,9119,Undirected
28862,35549,Undirected
29485,8591,Undirected
26415,29485,Undirected
29485,47107,Undirected
29485,49428,Undirected
29485,57785,Undirected
29485,59866,Undirected
31215,41336,Undirected
34362,60762,Undirected
34362,35549,Undirected
34362,41454,Undirected
174,34594,Undirected
251,34594,Undirected
1299,34594,Undirected
1853,34594,Undirected
3303,34594,Undirected
34594,6720,Undirected
34594,6730,Undirected
34594,6939,Undirected
34594,8447,Undirected
34594,8596,Undirected
34594,9002,Undirected
13030,34594,Undirected
13237,34594,Undirected
31095,34594,Undirected
34594,35416,Undirected
34594,39912,Undirected
34594,48621,Undirected
34594,48797,Undirected
34594,51989,Undirected
34594,59786,Undirected
196622,34594,Undirected
196832,34594,Undirected
197823,34594,Undirected
198548,34594,Undirected
174,34748,Undirected
34748,38937,Undirected
34748,44325,Undirected
34748,59522,Undirected
34748,35549,Undirected
3356,35549,Undirected
3549,35549,Undirected
35549,8928,Undirected
30841,35549,Undirected
31095,35549,Undirected
35549,41336,Undirected
35549,42679,Undirected
35549,43009,Undirected
35549,43394,Undirected
35549,43540,Undirected
35549,43953,Undirected
35549,44377,Undirected
35549,47988,Undirected
35549,48256,Undirected
35549,48567,Undirected
35549,48794,Undirected
35549,49498,Undirected
35549,52152,Undirected
35549,52172,Undirected
35549,56556,Undirected
35549,56706,Undirected
35549,62161,Undirected
197652,35549,Undirected
199244,35549,Undirected
199401,35549,Undirected
41336,57499,Undirected
174,41454,Undirected
41454,57499,Undirected
174,43009,Undirected
3356,43009,Undirected
3549,43009,Undirected
43009,6453,Undirected
43009,6762,Undirected
43540,60009,Undirected
43804,61211,Undirected
174,44306,Undirected
1299,44306,Undirected
3356,44306,Undirected
3549,44306,Undirected
174,47107,Undirected
47948,51577,Undirected
174,48353,Undirected
51577,9119,Undirected
13030,51778,Undirected
51778,59905,Undirected
5603,56681,Undirected
56681,57266,Undirected
57004,62300,Undirected
57888,9146,Undirected
199051,57888,Undirected
174,59905,Undirected
1764,59905,Undirected
59905,8218,Undirected
59905,8758,Undirected
20932,59905,Undirected
25091,59905,Undirected
29222,59905,Undirected
33891,59905,Undirected
34288,59905,Undirected
43531,59905,Undirected
60009,61211,Undirected
198785,60762,Undirected
174,61211,Undirected
3356,61211,Undirected
3549,61211,Undirected
196832,198785,Undirected
198492,9119,Undirected
174,198785,Undirected
199244,201563,Undirected
174,201563,Undirected
15169,5391,Undirected
20940,5391,Undirected
43061,5391,Undirected
16625,5391,Undirected
10310,5391,Undirected
13414,5391,Undirected
2635,5391,Undirected
12810,8447,Undirected
3212,5391,Undirected
31042,5391,Undirected
5391,8400,Undirected
3356,5391,Undirected
5391,5483,Undirected
12810,34594,Undirected
12810,174,Undirected
12810,34362,Undirected
12810,31012,Undirected
12810,35549,Undirected
13046,34594,Undirected
13046,35549,Undirected
25528,34594,Undirected
25528,9119,Undirected
31012,9119,Undirected
31012,34362,Undirected
174,31012,Undirected
31012,34594,Undirected
34362,34594,Undirected
34594,9119,Undirected
34594,43061,Undirected
174,35549,Undirected
