CC,Source,Target
MD,1547,174
MD,1547,251
MD,1547,553
MD,1547,701
MD,1547,852
MD,1103,1547
MD,1267,1547
MD,1299,1547
MD,1547,1764
MD,1547,2381
MD,1547,3252
MD,1547,3267
MD,1547,3333
MD,1547,3549
MD,1547,3741
MD,1547,5769
MD,1547,6079
MD,1547,6667
MD,1547,6679
MD,1547,6777
MD,1547,6939
MD,1547,8283
MD,1547,8331
MD,1547,8359
MD,1547,8419
MD,1547,8422
MD,1547,8426
MD,1547,8447
MD,1547,8468
MD,1547,8492
MD,1547,8596
MD,1547,8732
MD,1547,9002
MD,1547,9189
MD,1547,9304
MD,1547,9505
MD,10026,1547
MD,11666,1547
MD,12350,1547
MD,12637,1547
MD,12779,1547
MD,12859,1547
MD,12989,1547
MD,13030,1547
MD,13237,1547
MD,14537,1547
MD,15435,1547
MD,1547,18786
MD,1547,19151
MD,1547,20080
MD,1547,20485
MD,1547,20562
MD,1547,20640
MD,1547,20932
MD,1547,24989
MD,1547,25091
MD,1547,25160
MD,1547,25220
MD,1547,28917
MD,1547,29140
MD,1547,29208
MD,1547,29611
MD,1547,29636
MD,1547,30132
MD,1547,30844
MD,1547,31019
MD,1547,31025
MD,1547,31133
MD,1547,31343
MD,1547,31500
MD,1547,33891
MD,1547,34288
MD,1547,36351
MD,1547,37100
MD,1547,39202
MD,1547,39326
MD,1547,39792
MD,1547,39912
MD,1547,41695
MD,1547,41811
MD,1547,42708
MD,1547,43531
MD,1547,44953
MD,1547,48166
MD,1547,50300
MD,1547,50304
MD,1547,50763
MD,1547,50952
MD,1547,51185
MD,1547,56467
MD,1547,56730
MD,1547,63845
MD,132017,1547
MD,133527,1547
MD,1547,200130
MD,1547,201616
MD,1547,201653
MD,1547,202018
MD,1547,202109
MD,1547,1680
MD,1547,2914
MD,1547,3320
MD,1547,3356
MD,1547,3491
MD,1547,6453
MD,1547,6762
MD,1547,8551
MD,15836,8474
MD,31546,8474
MD,25454,8917
MD,553,8926
MD,1103,8926
MD,1267,8926
MD,1764,8926
MD,3216,8926
MD,3252,8926
MD,3257,8926
MD,3267,8926
MD,3333,8926
MD,6663,8926
MD,6939,8926
MD,8283,8926
MD,8359,8926
MD,8426,8926
MD,8447,8926
MD,8468,8926
MD,8492,8926
MD,8596,8926
MD,8657,8926
MD,8732,8926
MD,8926,9002
MD,8926,9189
MD,8926,9304
MD,10026,8926
MD,12637,8926
MD,12779,8926
MD,12859,8926
MD,12989,8926
MD,13237,8926
MD,15435,8926
MD,19151,8926
MD,20080,8926
MD,20485,8926
MD,20562,8926
MD,20640,8926
MD,20932,8926
MD,24989,8926
MD,25091,8926
MD,25160,8926
MD,25220,8926
MD,25454,8926
MD,28917,8926
MD,28990,8926
MD,29076,8926
MD,29140,8926
MD,29208,8926
MD,30132,8926
MD,30844,8926
MD,31019,8926
MD,31025,8926
MD,31133,8926
MD,31500,8926
MD,34288,8926
MD,36351,8926
MD,37100,8926
MD,39792,8926
MD,39912,8926
MD,41221,8926
MD,42708,8926
MD,48166,8926
MD,50300,8926
MD,50304,8926
MD,50763,8926
MD,51185,8926
MD,200130,8926
MD,202018,8926
MD,8926,9050
MD,13030,8926
MD,16265,8926
MD,50384,8926
MD,2614,9199
MD,15836,174
MD,15836,31557
MD,15836,35346
MD,15836,41879
MD,15836,43588
MD,15836,47791
MD,15836,49527
MD,15836,49691
MD,15836,51141
MD,15836,51846
MD,15836,52097
MD,15836,56491
MD,15836,56772
MD,15836,57916
MD,15836,60405
MD,15836,60456
MD,15836,61208
MD,15836,62154
MD,15836,31546
MD,25129,25454
MD,25129,34645
MD,25319,31252
MD,25454,8953
MD,25454,9050
MD,25454,25527
MD,25454,41879
MD,25454,42424
MD,25454,43870
MD,25454,44388
MD,25454,47729
MD,25454,47791
MD,25454,48232
MD,25454,48331
MD,25454,49947
MD,25454,50560
MD,25454,50950
MD,25454,51141
MD,25454,51770
MD,25454,51846
MD,25454,56792
MD,25454,57776
MD,25454,58311
MD,25454,60127
MD,25454,61077
MD,25454,62071
MD,25454,62154
MD,25454,62232
MD,25454,62337
MD,200189,25454
MD,25527,31252
MD,28990,31252
MD,174,31204
MD,31204,48331
MD,31204,51954
MD,31204,31252
MD,174,31252
MD,31252,553
MD,1267,31252
MD,1764,31252
MD,31252,3223
MD,31252,3252
MD,31252,3257
MD,31252,3303
MD,31252,3356
MD,31252,3549
MD,31252,5483
MD,31252,5580
MD,31252,6667
MD,31252,6730
MD,31252,6939
MD,31252,8218
MD,31252,8359
MD,31252,8426
MD,31252,8447
MD,31252,8468
MD,31252,8492
MD,31252,8596
MD,31252,8657
MD,31252,8732
MD,31252,9002
MD,31252,9050
MD,31252,9189
MD,12779,31252
MD,12859,31252
MD,13030,31252
MD,13237,31252
MD,19151,31252
MD,20485,31252
MD,20640,31252
MD,24989,31252
MD,25091,31252
MD,25220,31252
MD,28917,31252
MD,29076,31252
MD,29140,31252
MD,29208,31252
MD,29686,31252
MD,30844,31252
MD,31019,31252
MD,31025,31252
MD,31133,31252
MD,12450,31252
MD,31252,31500
MD,31252,34288
MD,31252,39743
MD,31252,39792
MD,31252,39912
MD,31252,42424
MD,31252,42708
MD,31252,43289
MD,31252,43925
MD,31252,47932
MD,31252,48166
MD,31252,48232
MD,31252,48480
MD,31252,48872
MD,31252,49560
MD,31252,50384
MD,31252,51014
MD,31252,51056
MD,31252,51770
MD,31252,58118
MD,31252,61334
MD,31252,62013
MD,31252,62053
MD,31252,39737
MD,34645,39526
MD,35346,57916
MD,35346,59996
MD,35346,62281
MD,35346,41221
MD,31546,39526
MD,41053,61059
MD,174,43289
MD,3223,43289
MD,31546,43289
MD,39743,43289
MD,43289,44388
MD,43289,60387
MD,43831,57916
MD,43831,50084
MD,1299,43925
MD,43925,48506
MD,43925,60456
MD,35017,48232
MD,3257,49560
MD,35320,49560
MD,174,50968
MD,1103,50968
MD,1764,50968
MD,3252,50968
MD,3267,50968
MD,3333,50968
MD,50968,5580
MD,50968,6939
MD,50968,8283
MD,50968,8359
MD,50968,8468
MD,50968,8492
MD,50968,9002
MD,50968,9304
MD,12637,50968
MD,12779,50968
MD,12859,50968
MD,12989,50968
MD,13237,50968
MD,20562,50968
MD,20932,50968
MD,25091,50968
MD,25160,50968
MD,25220,50968
MD,28917,50968
MD,29140,50968
MD,30132,50968
MD,30844,50968
MD,31019,50968
MD,31133,50968
MD,34288,50968
MD,37100,50968
MD,39792,50968
MD,44953,50968
MD,48166,50968
MD,50300,50968
MD,50304,50968
MD,50673,50968
MD,50763,50968
MD,50968,51185
MD,200130,50968
MD,201653,50968
MD,202018,50968
MD,41221,50976
MD,41221,51141
MD,41221,51713
MD,50084,52097
MD,50084,56491
MD,41221,56792
MD,57598,60456
MD,41221,58311
MD,41221,60127
MD,41221,60405
MD,174,61059
MD,61059,8317
MD,41221,61062
MD,41221,61334
MD,41221,62071
MD,198596,62375
MD,62406,62446
MD,41221,62446
MD,200019,31546
MD,200189,50084
MD,2635,8926
MD,13414,8926
MD,43289,8926
MD,13414,31252
MD,15169,31252
MD,15836,43289
MD,15836,39526
MD,15836,43925
MD,28990,43925
MD,28990,31546
MD,28990,43289
MD,43289,43925
MD,31546,51056
